User,Username,First Name,Last Name,Password,Email Address
1,fraulein,Maria,Von Trapp,maria123,vontrapp01@gmail.com
2,mary_poppins,Mary,Poppins,super123,marypoppins@hotmail.com
3,david_rose,David,Rose,ap0th3cary,davidrose@gmail.com
4,a_little_bit_alexis,Alexis,Rose,3wdavid,a_rose@gmail.com
5,adamfgoldberg,Adam,Goldberg,filmg33k,adamfgoldberg@me.com
6,pennyhartz,Penny,Hartz,pen12345,justpenny@gmail.com
7,grandpa,Abe,Simpson,passw0rd,grandpa@yahoo.com
8,new_age,Partick,Mahomes,passw0rd,chiefs@nfl.com
9,butterfly,Mariah,Carey,mus1cats,itsmemariah@gmail.com
10,atlas_guy,Diego,Smith,g00gl3maps,atlas guy@yahoo.com
